ApprovalID,ReportID,StepOrder,StepName,ApproverID,ApproverName,Decision,DecisionTimestamp,Comment,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
APR-17,0027f2ca-eecf-41d6-95ac-6affca75d32a,1.0,Manager,manager_bf3c4c06@example.com,Stephanie Ross,APPROVE,2025-01-30T20:00:00,,C001,2025-01-27,INR,ITEM-17,CC200,400000,JNL-LOSS,DR,50,PC03,3680.28,Despite trial fish sell method past.,3680.28,0.0,2025,2025-03-13,1.232,C,2024-10-10,WORKDAY,TRAVEL,APAC_LEDGER
APR-18,0027f2ca-eecf-41d6-95ac-6affca75d32a,2.0,Finance_Recon,finance_2369b584@example.com,Ann Williams,APPROVE,2025-02-02T07:00:00,Finance reconciliation completed,C001,2025-07-16,GBP,ITEM-18,CC300,400000,JNL-THIS,KR,40,PC02,3507.94,Certainly such recently attack hard.,0.0,3507.94,2025,2025-02-26,1.2337,C,2025-08-02,SAP,TRAVEL,CORP_LEDGER
APR-19,003570ea-6c3f-49c0-aa19-53d339d03ea6,1.0,Manager,manager_28f49481@example.com,Jennifer Brown,APPROVE,2024-11-13T08:00:00,,C001,2025-05-17,INR,ITEM-19,CC300,400000,JNL-STATION,DR,50,PC01,2981.41,Court enjoy card pick building.,2981.41,0.0,2025,2024-11-28,1.2998,C,2025-01-06,WORKDAY,EXPENSE,CORP_LEDGER
APR-20,003570ea-6c3f-49c0-aa19-53d339d03ea6,2.0,Finance_Recon,finance_77d21e02@example.com,Tricia Valencia,APPROVE,2024-11-15T04:00:00,Finance reconciliation completed,C002,2025-02-04,EUR,ITEM-20,CC200,400000,JNL-DRUG,SA,40,PC03,4042.38,Budget hard break necessary all begin chance.,0.0,4042.38,2025,2024-10-20,1.1501,B,2025-04-27,SAP,EXPENSE,APAC_LEDGER
APR-21,00381332-ec62-4f74-9d55-30a311dba80f,1.0,Manager,manager_1d53434b@example.com,Kimberly Adams,APPROVE,2023-10-12T17:00:00,,C002,2024-11-18,INR,ITEM-21,CC100,500000,JNL-HUSBAND,SA,40,PC01,3936.35,Through large rock.,3936.35,0.0,2025,2025-06-28,1.2219,C,2024-10-20,SAP,EXPENSE,APAC_LEDGER
APR-22,00381332-ec62-4f74-9d55-30a311dba80f,2.0,Finance,finance_4b22d308@example.com,Jesse Mckay,APPROVE,2023-10-16T16:00:00,,C003,2025-06-08,GBP,ITEM-22,CC200,500000,JNL-WHOLE,SA,50,PC03,506.95,Imagine image join sort.,0.0,506.95,2025,2025-01-02,0.9842,B,2025-05-26,CONCUR,PURCHASE,APAC_LEDGER
APR-23,00381332-ec62-4f74-9d55-30a311dba80f,3.0,Finance_Recon,finance_f8cda88b@example.com,Cassandra Gaines,APPROVE,2023-10-19T09:00:00,Finance reconciliation completed,C003,2024-10-27,EUR,ITEM-23,CC100,400000,JNL-SERIOUS,DR,50,PC03,4100.45,Recognize produce support run reach.,4100.45,0.0,2025,2025-04-11,0.7415,B,2024-10-08,SAP,PURCHASE,APAC_LEDGER
APR-24,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,1.0,Manager,manager_d777a477@example.com,Lisa Hernandez,APPROVE,2024-04-27T07:00:00,,C001,2025-04-16,INR,ITEM-24,CC300,500000,JNL-DINNER,KR,50,PC03,4031.92,Choose human poor as.,0.0,4031.92,2025,2024-12-18,1.3923,M,2025-05-13,CONCUR,TRAVEL,APAC_LEDGER
APR-25,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,2.0,Finance,finance_f4188f3f@example.com,Kerry Smith,APPROVE,2024-05-01T12:00:00,,C002,2025-07-12,EUR,ITEM-25,CC200,500000,JNL-YET,DR,40,PC01,4099.83,Record scene economy friend continue thought.,4099.83,0.0,2025,2025-05-17,0.9941,M,2025-08-08,WORKDAY,EXPENSE,CORP_LEDGER
APR-26,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,3.0,Finance_Recon,finance_1ca35cfb@example.com,Sherry Decker,APPROVE,2024-05-05T01:00:00,Finance reconciliation completed,C003,2025-03-18,USD,ITEM-26,CC100,600000,JNL-THEY,KR,50,PC03,3437.19,Difference development seat test owner certain.,0.0,3437.19,2025,2025-07-12,0.9857,B,2024-10-01,CONCUR,TRAVEL,CORP_LEDGER
APR-27,004bf5a0-c4d8-463e-85e9-038cd72ef5de,1.0,Manager,manager_3da9c2a9@example.com,Theresa Miller,REJECT,2024-08-03T12:00:00,,C003,2025-02-14,USD,ITEM-27,CC300,500000,JNL-SITE,DR,40,PC01,238.31,Most building job financial.,238.31,0.0,2025,2025-03-21,1.4544,M,2025-05-19,SAP,TRAVEL,APAC_LEDGER
APR-28,00590874-132b-4976-9892-3b46a3f38573,1.0,Manager,manager_fa5d3100@example.com,Pamela Anderson,APPROVE,2025-08-27T04:00:00,,C002,2025-06-16,EUR,ITEM-28,CC300,500000,JNL-REQUIRE,SA,50,PC02,1328.55,Appear carry early fact question sell.,0.0,1328.55,2025,2025-04-15,0.8207,M,2024-12-03,WORKDAY,TRAVEL,APAC_LEDGER
APR-29,00590874-132b-4976-9892-3b46a3f38573,2.0,Finance_Recon,finance_2a45c2ab@example.com,Shane Henderson,APPROVE,2025-08-30T16:00:00,Finance reconciliation completed,C002,2025-01-27,EUR,ITEM-29,CC200,400000,JNL-DROP,SA,40,PC02,975.63,Realize knowledge either follow usually candidate sport support.,975.63,0.0,2025,2025-03-31,1.1247,C,2024-12-29,SAP,TRAVEL,CORP_LEDGER
APR-30,005ba28d-f5a5-4e7d-af60-cd63d388e73e,1.0,Manager,manager_c1590f53@example.com,Christina Collins,APPROVE,2025-08-21T18:00:00,,C002,2025-08-08,GBP,ITEM-30,CC300,600000,JNL-COLD,KR,40,PC03,4146.83,Decision guy card.,0.0,4146.83,2025,2025-03-21,1.3491,M,2024-12-08,CONCUR,EXPENSE,CORP_LEDGER
APR-31,005ba28d-f5a5-4e7d-af60-cd63d388e73e,2.0,Finance,finance_5f987c71@example.com,Joseph Martinez,APPROVE,2025-08-24T01:00:00,,C003,2024-12-21,EUR,ITEM-31,CC300,400000,JNL-FORCE,DR,40,PC02,3722.29,Citizen professor paper tough this middle draw.,3722.29,0.0,2025,2025-08-11,1.3066,M,2025-01-31,CONCUR,EXPENSE,CORP_LEDGER
APR-32,005ba28d-f5a5-4e7d-af60-cd63d388e73e,3.0,Finance_Recon,finance_05628059@example.com,Crystal Robinson,APPROVE,2025-08-24T05:00:00,Finance reconciliation completed,C001,2025-07-17,INR,ITEM-32,CC100,500000,JNL-POLICE,KR,50,PC02,923.18,Show sound court thought age teacher society.,0.0,923.18,2025,2025-03-06,1.3708,B,2025-06-04,CONCUR,PURCHASE,APAC_LEDGER
APR-33,005e377f-5cd5-49f5-ad0f-c5132d106a78,1.0,Manager,manager_0f1259e0@example.com,Taylor Heath,APPROVE,2024-01-02T21:00:00,,C002,2025-08-05,INR,ITEM-33,CC300,500000,JNL-EASY,SA,50,PC02,3387.61,Customer describe detail team.,3387.61,0.0,2025,2024-12-12,0.9984,B,2025-02-08,CONCUR,EXPENSE,CORP_LEDGER
APR-34,005e377f-5cd5-49f5-ad0f-c5132d106a78,2.0,Finance_Recon,finance_474a493b@example.com,Cindy Anderson,APPROVE,2024-01-06T02:00:00,Finance reconciliation completed,C001,2024-12-17,GBP,ITEM-34,CC300,500000,JNL-SHOULD,SA,50,PC01,4370.55,Car them class.,0.0,4370.55,2025,2025-06-14,0.8952,B,2025-03-08,WORKDAY,PURCHASE,APAC_LEDGER
APR-35,00649060-db22-4827-8cf8-c11b02eb476b,1.0,Manager,manager_93829b43@example.com,Richard Aguirre,APPROVE,2025-07-04T16:00:00,,C003,2025-03-04,GBP,ITEM-35,CC100,500000,JNL-SHOULD,SA,40,PC02,2029.77,Behind size alone drop as example everything.,2029.77,0.0,2025,2025-02-02,1.0022,M,2025-05-09,WORKDAY,EXPENSE,CORP_LEDGER
APR-36,00649060-db22-4827-8cf8-c11b02eb476b,2.0,Finance_Recon,finance_a8b317fa@example.com,Jeff Owens,APPROVE,2025-07-06T04:00:00,Finance reconciliation completed,C002,2025-06-04,GBP,ITEM-36,CC300,600000,JNL-DAUGHTER,SA,40,PC02,4668.42,Major street whom speak recent car.,0.0,4668.42,2025,2025-01-09,1.082,C,2025-05-14,WORKDAY,PURCHASE,CORP_LEDGER
APR-37,006bf563-aa07-4727-9a48-2cafc07bb6c3,1.0,Manager,manager_a748dbcf@example.com,Mrs. Jennifer Morgan,REJECT,2025-01-06T21:00:00,,C003,2024-10-28,INR,ITEM-37,CC300,500000,JNL-BLUE,SA,40,PC03,2775.44,Visit simply drug religious moment cell.,2775.44,0.0,2025,2025-03-31,0.914,C,2025-01-15,SAP,EXPENSE,APAC_LEDGER
APR-38,006bf563-aa07-4727-9a48-2cafc07bb6c3,2.0,Finance,finance_310c0c00@example.com,Jerry Henderson,APPROVE,2025-01-13T01:00:00,,C002,2025-06-17,INR,ITEM-38,CC200,400000,JNL-SCORE,DR,40,PC02,703.65,American policy her evening technology.,0.0,703.65,2025,2024-12-24,1.3884,M,2024-12-31,WORKDAY,PURCHASE,APAC_LEDGER
APR-39,00777b46-8878-4d4d-b86c-24dbdb0b8d71,1.0,Manager,manager_dfde4fbf@example.com,Jessica Callahan,REJECT,2025-05-31T23:00:00,,C003,2025-08-17,INR,ITEM-39,CC100,500000,JNL-MUCH,DR,50,PC03,2323.45,Run education rather then Congress mouth sit.,2323.45,0.0,2025,2025-05-24,1.0438,M,2024-11-06,WORKDAY,EXPENSE,APAC_LEDGER
APR-41,007ff11d-3be2-4ddc-8780-d952cfe6b953,1.1,Manager_RESUBMIT,manager_a6f2f7b8@example.com,Dr. Tracy House DVM,RESUBMITTED,2024-02-24T16:00:00,Resubmitted by owner after additional docs,C001,2024-12-16,GBP,ITEM-40,CC200,600000,JNL-OPEN,KR,40,PC02,1649.52,If consider sure only it article become somebody.,0.0,1649.52,2025,2024-12-25,1.3932,B,2024-11-13,SAP,EXPENSE,APAC_LEDGER
APR-41,007ff11d-3be2-4ddc-8780-d952cfe6b953,1.0,Manager,manager_a6f2f7b8@example.com,Dr. Tracy House DVM,REJECT,2024-02-25T16:00:00,Sent back for more receipts/details. Final decision: REJECT.,C001,2024-11-06,GBP,ITEM-41,CC200,500000,JNL-INSTEAD,DR,40,PC02,2307.1,Friend miss ability upon country picture.,2307.1,0.0,2025,2025-06-28,1.1867,B,2025-05-28,WORKDAY,EXPENSE,APAC_LEDGER
APR-42,007ff11d-3be2-4ddc-8780-d952cfe6b953,2.0,DeptHead,depthead_7b3a4e3e@example.com,James Brown,APPROVE,2024-02-28T07:00:00,,C003,2024-11-05,USD,ITEM-42,CC300,500000,JNL-READY,DR,40,PC03,4776.84,Themselves need type wind bad table resource.,0.0,4776.84,2025,2024-12-06,1.1834,B,2025-05-20,WORKDAY,PURCHASE,APAC_LEDGER
APR-43,007ff11d-3be2-4ddc-8780-d952cfe6b953,3.0,Finance,finance_63f2ae24@example.com,Richard Gibson,APPROVE,2024-03-01T12:00:00,,C002,2024-10-23,USD,ITEM-43,CC300,400000,JNL-BUILDING,SA,50,PC02,3348.23,Run take four theory.,3348.23,0.0,2025,2025-04-11,1.0396,M,2025-02-14,CONCUR,TRAVEL,APAC_LEDGER
APR-44,0081de6a-c87f-40c2-935c-d98921a92166,1.0,Manager,manager_bb026576@example.com,Kristi Higgins MD,APPROVE,2024-01-02T09:00:00,,C002,2025-02-04,INR,ITEM-44,CC200,600000,JNL-BUILDING,SA,50,PC02,1134.88,Focus concern interview senior structure have order.,0.0,1134.88,2025,2025-02-10,1.3298,M,2025-05-22,CONCUR,TRAVEL,APAC_LEDGER
APR-45,0081de6a-c87f-40c2-935c-d98921a92166,2.0,Finance_Recon,finance_0ef8c2d6@example.com,Kimberly Adkins,APPROVE,2024-01-03T01:00:00,Finance reconciliation completed,C003,2024-10-23,INR,ITEM-45,CC100,600000,JNL-RED,KR,40,PC02,2729.22,Pay recognize goal our take ball decade bar.,2729.22,0.0,2025,2025-02-09,1.1152,C,2024-11-30,WORKDAY,EXPENSE,APAC_LEDGER
APR-47,00826cac-fad4-4002-8f54-ca275b152e39,1.1,Manager_RESUBMIT,manager_7a0ecfea@example.com,Sarah Moore,RESUBMITTED,2023-10-21T02:00:00,Resubmitted by owner after additional docs,C001,2025-08-23,EUR,ITEM-46,CC100,500000,JNL-PART,KR,40,PC01,4183.46,About tough quickly west produce stage south.,0.0,4183.46,2025,2025-09-04,0.7115,B,2025-06-26,CONCUR,TRAVEL,APAC_LEDGER
APR-47,00826cac-fad4-4002-8f54-ca275b152e39,1.0,Manager,manager_7a0ecfea@example.com,Sarah Moore,APPROVE,2023-10-22T02:00:00,Sent back for more receipts/details. Final decision: APPROVE.,C003,2025-07-15,USD,ITEM-47,CC100,600000,JNL-BUSINESS,KR,50,PC03,3424.2,Itself style ahead.,3424.2,0.0,2025,2025-03-06,0.8331,B,2025-09-02,CONCUR,TRAVEL,APAC_LEDGER
APR-48,00826cac-fad4-4002-8f54-ca275b152e39,2.0,Finance_Recon,finance_d9f195d0@example.com,Kurt Leonard,APPROVE,2023-10-26T21:00:00,Finance reconciliation completed,C001,2024-09-29,USD,ITEM-48,CC100,500000,JNL-SERVICE,DR,40,PC01,4671.4,Fall detail trade mother whole tell pick.,0.0,4671.4,2025,2025-08-27,1.3819,B,2024-10-21,CONCUR,TRAVEL,CORP_LEDGER
APR-49,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,1.0,Manager,manager_f10c718b@example.com,Danielle Wheeler,APPROVE,2024-02-25T08:00:00,,C003,2024-12-31,EUR,ITEM-49,CC100,600000,JNL-END,KR,40,PC02,4721.33,Range less house trade produce.,4721.33,0.0,2025,2025-09-09,1.1611,B,2025-01-02,SAP,TRAVEL,CORP_LEDGER
APR-51,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,2.1,DeptHead_RESUBMIT,depthead_a8499b92@example.com,Kelly Donovan,RESUBMITTED,2024-03-03T05:00:00,Resubmitted by owner after additional docs,C001,2024-11-21,EUR,ITEM-50,CC100,600000,JNL-POOR,SA,40,PC03,3073.96,Table forward mention weight Democrat.,0.0,3073.96,2025,2025-01-24,1.3928,B,2025-03-10,WORKDAY,EXPENSE,APAC_LEDGER
APR-51,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,2.0,DeptHead,depthead_a8499b92@example.com,Kelly Donovan,APPROVE,2024-03-05T05:00:00,Sent back for more receipts/details. Final decision: APPROVE.,C001,2025-09-09,GBP,ITEM-51,CC300,500000,JNL-STORE,KR,50,PC02,4225.97,Party good level national attorney pay about.,4225.97,0.0,2025,2024-11-16,1.1303,M,2025-03-11,WORKDAY,PURCHASE,CORP_LEDGER
APR-52,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,3.0,Finance,finance_506e5a9a@example.com,James Powers,APPROVE,2024-03-12T03:00:00,,C002,2024-11-04,GBP,ITEM-52,CC200,400000,JNL-CAMPAIGN,SA,50,PC01,2404.27,Hope guy begin increase prepare require.,0.0,2404.27,2025,2025-02-01,0.8494,M,2024-10-25,WORKDAY,PURCHASE,APAC_LEDGER
APR-53,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,4.0,Finance_Recon,finance_edd4253b@example.com,Angel Ellis,APPROVE,2024-03-16T13:00:00,Finance reconciliation completed,C002,2025-07-13,EUR,ITEM-53,CC300,600000,JNL-BILL,SA,40,PC02,2587.84,Eat any process bill war throw.,2587.84,0.0,2025,2025-01-07,1.0671,C,2025-07-18,WORKDAY,TRAVEL,APAC_LEDGER
APR-54,00972501-ccfb-4ee4-961c-609725baef69,1.0,Manager,manager_19985f15@example.com,Daniel Baker,APPROVE,2025-09-09T02:00:00,,C001,2025-07-12,USD,ITEM-54,CC300,400000,JNL-NEXT,SA,50,PC03,4798.5,Might throughout sit it grow water test.,0.0,4798.5,2025,2025-07-09,1.005,B,2025-09-02,WORKDAY,TRAVEL,APAC_LEDGER
APR-55,00972501-ccfb-4ee4-961c-609725baef69,2.0,Finance_Recon,finance_119c4ea3@example.com,Jaclyn Moore,APPROVE,2025-09-11T16:00:00,Finance reconciliation completed,C002,2025-05-16,INR,ITEM-55,CC300,500000,JNL-TRY,SA,40,PC01,4569.71,Marriage discover else officer when air never.,4569.71,0.0,2025,2025-08-31,0.886,C,2025-08-01,CONCUR,EXPENSE,APAC_LEDGER
APR-56,00a1fc81-3eef-44da-a261-b7a327834c06,1.0,Manager,manager_4d71c366@example.com,Victoria Valdez,APPROVE,2025-08-27T02:00:00,,C003,2025-08-26,GBP,ITEM-56,CC100,500000,JNL-REMEMBER,DR,40,PC03,4480.52,Rock tough staff site admit environment while.,0.0,4480.52,2025,2025-09-18,0.7982,C,2024-11-24,WORKDAY,EXPENSE,CORP_LEDGER
APR-58,00a1fc81-3eef-44da-a261-b7a327834c06,2.1,Finance_RESUBMIT,finance_8dfa6a56@example.com,Matthew Mcmillan,RESUBMITTED,2025-08-29T08:00:00,Resubmitted by owner after additional docs,C002,2025-03-16,EUR,ITEM-57,CC200,500000,JNL-FOLLOW,SA,50,PC03,961.42,Visit road major yeah husband ask.,961.42,0.0,2025,2024-12-20,0.7305,C,2025-08-29,CONCUR,TRAVEL,APAC_LEDGER
APR-58,00a1fc81-3eef-44da-a261-b7a327834c06,2.0,Finance,finance_8dfa6a56@example.com,Matthew Mcmillan,REJECT,2025-08-30T08:00:00,Sent back for more receipts/details. Final decision: REJECT.,C001,2024-11-07,EUR,ITEM-58,CC200,500000,JNL-OFTEN,SA,50,PC01,916.11,Structure become nor day building bring.,0.0,916.11,2025,2025-01-11,1.1735,B,2025-08-24,SAP,EXPENSE,APAC_LEDGER
APR-59,00a93cd2-14b7-4859-8ef1-3446e5b8244d,1.0,Manager,manager_e3c43657@example.com,Juan Nelson,APPROVE,2024-07-23T17:00:00,,C003,2024-12-16,EUR,ITEM-59,CC200,400000,JNL-GUY,SA,40,PC02,356.35,Beat seat effort state dog too.,356.35,0.0,2025,2025-07-07,1.4288,C,2025-08-26,CONCUR,PURCHASE,APAC_LEDGER
APR-60,00a93cd2-14b7-4859-8ef1-3446e5b8244d,2.0,Finance,finance_57c700aa@example.com,Mark Baker,APPROVE,2024-07-29T21:00:00,,C003,2024-10-23,EUR,ITEM-60,CC300,600000,JNL-HELP,SA,40,PC01,4459.18,Part itself election no peace despite cut.,0.0,4459.18,2025,2024-11-11,1.158,M,2025-06-04,WORKDAY,PURCHASE,CORP_LEDGER
APR-61,00a93cd2-14b7-4859-8ef1-3446e5b8244d,3.0,Finance_Recon,finance_e87d1c78@example.com,Anna Henderson,APPROVE,2024-08-03T04:00:00,Finance reconciliation completed,C002,2024-11-15,USD,ITEM-61,CC200,400000,JNL-OVER,SA,50,PC03,3198.23,Task world anyone marriage trial company member.,3198.23,0.0,2025,2024-11-22,1.2732,B,2025-04-27,WORKDAY,TRAVEL,CORP_LEDGER
APR-62,00a94503-7be4-4cff-b0af-0d9a3570c7da,1.0,Manager,manager_5563f616@example.com,Mandy Green,APPROVE,2024-09-05T21:00:00,,C002,2025-06-13,GBP,ITEM-62,CC200,500000,JNL-EXPERIENCE,SA,50,PC01,371.61,Above these exactly recognize under.,0.0,371.61,2025,2025-09-06,0.7498,C,2025-06-27,WORKDAY,PURCHASE,CORP_LEDGER
APR-63,00a94503-7be4-4cff-b0af-0d9a3570c7da,2.0,Finance_Recon,finance_b4a69f3c@example.com,Adam Jones,APPROVE,2024-09-10T01:00:00,Finance reconciliation completed,C002,2025-08-21,GBP,ITEM-63,CC200,500000,JNL-FOR,KR,40,PC02,2841.61,These else remember reflect.,2841.61,0.0,2025,2025-01-27,0.7485,C,2025-03-15,CONCUR,PURCHASE,APAC_LEDGER
APR-64,00a97283-8eb4-4650-bc2e-9e06f5c12e10,1.0,Manager,manager_26286bfb@example.com,Sandra Aguilar,APPROVE,2025-02-01T01:00:00,,C001,2025-05-24,USD,ITEM-64,CC100,500000,JNL-FOR,SA,40,PC01,3681.52,Wish staff anything dark.,0.0,3681.52,2025,2025-09-05,1.3611,C,2025-04-14,SAP,PURCHASE,CORP_LEDGER
APR-65,00a97283-8eb4-4650-bc2e-9e06f5c12e10,2.0,Finance_Recon,finance_0ab54bde@example.com,Steven Flynn,APPROVE,2025-02-02T19:00:00,Finance reconciliation completed,C003,2025-02-22,GBP,ITEM-65,CC200,600000,JNL-PROGRAM,KR,40,PC01,346.47,Idea possible knowledge us approach lay.,346.47,0.0,2025,2025-03-11,1.245,B,2024-12-30,WORKDAY,TRAVEL,APAC_LEDGER
